date_trunc,sum
12/22/2017 12:00 AM UTC,842389.0
12/23/2017 12:00 AM UTC,
12/24/2017 12:00 AM UTC,
12/25/2017 12:00 AM UTC,
12/26/2017 12:00 AM UTC,360450.0
12/27/2017 12:00 AM UTC,
12/28/2017 12:00 AM UTC,
12/29/2017 12:00 AM UTC,
12/30/2017 12:00 AM UTC,
12/31/2017 12:00 AM UTC,
1/1/2018 12:00 AM UTC,
1/2/2018 12:00 AM UTC,
1/3/2018 12:00 AM UTC,
1/4/2018 12:00 AM UTC,3808593.636
1/5/2018 12:00 AM UTC,21289032.58
1/6/2018 12:00 AM UTC,623722.636
1/7/2018 12:00 AM UTC,
1/8/2018 12:00 AM UTC,2220500.0
1/9/2018 12:00 AM UTC,3944384.6738
1/10/2018 12:00 AM UTC,
1/11/2018 12:00 AM UTC,
1/12/2018 12:00 AM UTC,2536219.26
1/13/2018 12:00 AM UTC,1703451.1394
1/14/2018 12:00 AM UTC,
1/15/2018 12:00 AM UTC,2619443.7261
1/16/2018 12:00 AM UTC,754271.25806
1/17/2018 12:00 AM UTC,451605.0
1/18/2018 12:00 AM UTC,2535575.0
1/19/2018 12:00 AM UTC,6219489.0
1/20/2018 12:00 AM UTC,3355380.0
1/21/2018 12:00 AM UTC,34000.0
1/22/2018 12:00 AM UTC,611650.0
1/23/2018 12:00 AM UTC,5713105.0535
1/24/2018 12:00 AM UTC,6533236.066
1/25/2018 12:00 AM UTC,11747782.17151
1/26/2018 12:00 AM UTC,16577656.0815
1/27/2018 12:00 AM UTC,5331945.8
1/28/2018 12:00 AM UTC,90275.05
1/29/2018 12:00 AM UTC,11123406.61999
1/30/2018 12:00 AM UTC,3183909.0
1/31/2018 12:00 AM UTC,1324259.136
2/1/2018 12:00 AM UTC,3185675.7811
2/2/2018 12:00 AM UTC,1247555.0
2/3/2018 12:00 AM UTC,16385347.0446412
2/4/2018 12:00 AM UTC,22000.0
2/5/2018 12:00 AM UTC,7564171.3935
2/6/2018 12:00 AM UTC,2072414.32054
2/7/2018 12:00 AM UTC,
2/8/2018 12:00 AM UTC,2261301.784
2/9/2018 12:00 AM UTC,3717687.0
2/10/2018 12:00 AM UTC,3413558.0084
2/11/2018 12:00 AM UTC,
2/12/2018 12:00 AM UTC,5676126.9875
2/13/2018 12:00 AM UTC,946747.0714
2/14/2018 12:00 AM UTC,664975.0
2/15/2018 12:00 AM UTC,6106581.534
2/16/2018 12:00 AM UTC,1542702.019
2/17/2018 12:00 AM UTC,
2/18/2018 12:00 AM UTC,
2/19/2018 12:00 AM UTC,2924337.9451
2/20/2018 12:00 AM UTC,7181590.63
2/21/2018 12:00 AM UTC,9461117.29260001
2/22/2018 12:00 AM UTC,171075.0
2/23/2018 12:00 AM UTC,85806.8977
2/24/2018 12:00 AM UTC,3455849.7937
2/25/2018 12:00 AM UTC,
2/26/2018 12:00 AM UTC,5181708.0627
2/27/2018 12:00 AM UTC,126250.0
2/28/2018 12:00 AM UTC,3353819.6769
3/1/2018 12:00 AM UTC,53723705.7414919
3/2/2018 12:00 AM UTC,3280372.688
3/3/2018 12:00 AM UTC,1067158.638
3/4/2018 12:00 AM UTC,
3/5/2018 12:00 AM UTC,3025480.981
3/6/2018 12:00 AM UTC,6363769.7212
3/7/2018 12:00 AM UTC,1147552.0
3/8/2018 12:00 AM UTC,3000.0
3/9/2018 12:00 AM UTC,5172506.534
3/10/2018 12:00 AM UTC,236515.0
3/11/2018 12:00 AM UTC,
3/12/2018 12:00 AM UTC,323315.0
3/13/2018 12:00 AM UTC,12550143.3989
3/14/2018 12:00 AM UTC,192763287.9315
3/15/2018 12:00 AM UTC,89288.0
3/16/2018 12:00 AM UTC,4179966.819
3/17/2018 12:00 AM UTC,48900.0
3/18/2018 12:00 AM UTC,
3/19/2018 12:00 AM UTC,48325.21
3/20/2018 12:00 AM UTC,6756000.463
3/21/2018 12:00 AM UTC,832542.0
3/22/2018 12:00 AM UTC,6212805.0535
3/23/2018 12:00 AM UTC,2233766.604
3/24/2018 12:00 AM UTC,
3/25/2018 12:00 AM UTC,
3/26/2018 12:00 AM UTC,2020269.0
3/27/2018 12:00 AM UTC,2642327.1452
3/28/2018 12:00 AM UTC,5131875.564
3/29/2018 12:00 AM UTC,2894358.58948
3/30/2018 12:00 AM UTC,6033849.17074
3/31/2018 12:00 AM UTC,
4/1/2018 12:00 AM UTC,
4/2/2018 12:00 AM UTC,448885.0
4/3/2018 12:00 AM UTC,62421923.9839616
4/4/2018 12:00 AM UTC,203620.0
4/5/2018 12:00 AM UTC,8076697.1916
4/6/2018 12:00 AM UTC,936784.5
4/7/2018 12:00 AM UTC,
4/8/2018 12:00 AM UTC,1788462.5
4/9/2018 12:00 AM UTC,25611518.8372
4/10/2018 12:00 AM UTC,9567029.5606
4/11/2018 12:00 AM UTC,1986042.5944
4/12/2018 12:00 AM UTC,17636575.858289
4/13/2018 12:00 AM UTC,5605751.7235
4/14/2018 12:00 AM UTC,
4/15/2018 12:00 AM UTC,
4/16/2018 12:00 AM UTC,7621925.0
4/17/2018 12:00 AM UTC,5492737.155
4/18/2018 12:00 AM UTC,989980.0
4/19/2018 12:00 AM UTC,15018848.3330659
4/20/2018 12:00 AM UTC,667090.0
4/21/2018 12:00 AM UTC,850456.496342857
4/22/2018 12:00 AM UTC,258995.0
4/23/2018 12:00 AM UTC,6738369.2714
4/24/2018 12:00 AM UTC,1790780.0
4/25/2018 12:00 AM UTC,19521592.8556714
4/26/2018 12:00 AM UTC,3573752.5
4/27/2018 12:00 AM UTC,1360766.0
4/28/2018 12:00 AM UTC,122360.0
4/29/2018 12:00 AM UTC,
4/30/2018 12:00 AM UTC,1779202.0
5/1/2018 12:00 AM UTC,214320.0
5/2/2018 12:00 AM UTC,4310086.19666586
5/3/2018 12:00 AM UTC,1310279.57
5/4/2018 12:00 AM UTC,75580.0
5/5/2018 12:00 AM UTC,520850.0
5/6/2018 12:00 AM UTC,
5/7/2018 12:00 AM UTC,711500.0
5/8/2018 12:00 AM UTC,27182038.0
5/9/2018 12:00 AM UTC,1415895.0
5/10/2018 12:00 AM UTC,15094719.9108
5/11/2018 12:00 AM UTC,2970488.318
5/12/2018 12:00 AM UTC,
5/13/2018 12:00 AM UTC,172760.0
5/14/2018 12:00 AM UTC,69362413.97689
5/15/2018 12:00 AM UTC,2933698.0
5/16/2018 12:00 AM UTC,742940.0
5/17/2018 12:00 AM UTC,645920.0
5/18/2018 12:00 AM UTC,101000.0
5/19/2018 12:00 AM UTC,178000.0
5/20/2018 12:00 AM UTC,
5/21/2018 12:00 AM UTC,2442438.99634286
5/22/2018 12:00 AM UTC,37358898.6056537
5/23/2018 12:00 AM UTC,379250.0
5/24/2018 12:00 AM UTC,1073245.26282051
5/25/2018 12:00 AM UTC,1966500.0
5/26/2018 12:00 AM UTC,
5/27/2018 12:00 AM UTC,
5/28/2018 12:00 AM UTC,
5/29/2018 12:00 AM UTC,111000.0
5/30/2018 12:00 AM UTC,1076248.0
5/31/2018 12:00 AM UTC,2065168.272
6/1/2018 12:00 AM UTC,5939617.71344
6/2/2018 12:00 AM UTC,
6/3/2018 12:00 AM UTC,
6/4/2018 12:00 AM UTC,281550.0
6/5/2018 12:00 AM UTC,648885.5563
6/6/2018 12:00 AM UTC,53744257.567497
6/7/2018 12:00 AM UTC,239619.0
6/8/2018 12:00 AM UTC,11479813.9545
6/9/2018 12:00 AM UTC,
6/10/2018 12:00 AM UTC,
6/11/2018 12:00 AM UTC,2694621.1144
6/12/2018 12:00 AM UTC,3619224.0
6/13/2018 12:00 AM UTC,8650955.34716667
6/14/2018 12:00 AM UTC,7737584.182
6/15/2018 12:00 AM UTC,1560012.5944
6/16/2018 12:00 AM UTC,
6/17/2018 12:00 AM UTC,
6/18/2018 12:00 AM UTC,35622881.8279243
6/19/2018 12:00 AM UTC,6818111.2243
6/20/2018 12:00 AM UTC,63544356.9217999
6/21/2018 12:00 AM UTC,13285639.5363
6/22/2018 12:00 AM UTC,161794.0
6/23/2018 12:00 AM UTC,
6/24/2018 12:00 AM UTC,
6/25/2018 12:00 AM UTC,10947101.915
6/26/2018 12:00 AM UTC,681146.25
6/27/2018 12:00 AM UTC,11881444.9163
6/28/2018 12:00 AM UTC,5170843.7902
6/29/2018 12:00 AM UTC,26790057.75
