Date,Amount
2019-11-29 0:00:00,461
2019-11-30 0:00:00,469
2019-12-01 0:00:00,730
2019-12-02 0:00:00,4380
2019-12-03 0:00:00,4093
2019-12-04 0:00:00,4483
2019-12-05 0:00:00,4456
2019-12-06 0:00:00,3661
2019-12-07 0:00:00,607
2019-12-08 0:00:00,1127
2019-12-09 0:00:00,3985
2019-12-10 0:00:00,3807
2019-12-11 0:00:00,5129
2019-12-12 0:00:00,4050
2019-12-13 0:00:00,3599
2019-12-14 0:00:00,701
2019-12-15 0:00:00,634
2019-12-16 0:00:00,4802
2019-12-17 0:00:00,4757
2019-12-18 0:00:00,4698
2019-12-19 0:00:00,4431
2019-12-20 0:00:00,4348
2019-12-21 0:00:00,533
2019-12-22 0:00:00,348
2019-12-23 0:00:00,2991
2019-12-24 0:00:00,731
2019-12-25 0:00:00,323
2019-12-26 0:00:00,1275
2019-12-27 0:00:00,1888
2019-12-28 0:00:00,527
2019-12-29 0:00:00,419
2019-12-30 0:00:00,1944
2019-12-31 0:00:00,714
2020-01-01 0:00:00,307
2020-01-02 0:00:00,2850
2020-01-03 0:00:00,2761
2020-01-04 0:00:00,493
2020-01-05 0:00:00,476
2020-01-06 0:00:00,5166
2020-01-07 0:00:00,4732
2020-01-08 0:00:00,4437
2020-01-09 0:00:00,4549
2020-01-10 0:00:00,4072
2020-01-11 0:00:00,792
2020-01-12 0:00:00,799
2020-01-13 0:00:00,4956
2020-01-14 0:00:00,5667
2020-01-15 0:00:00,7745
2020-01-16 0:00:00,7375
2020-01-17 0:00:00,5893
2020-01-18 0:00:00,742
2020-01-19 0:00:00,849
2020-01-20 0:00:00,2885
2020-01-21 0:00:00,9401
2020-01-22 0:00:00,7185
2020-01-23 0:00:00,3846
2020-01-24 0:00:00,4120
2020-01-25 0:00:00,896
2020-01-26 0:00:00,1140
2020-01-27 0:00:00,4963
2020-01-28 0:00:00,5027
2020-01-29 0:00:00,4860
2020-01-30 0:00:00,4802
2020-01-31 0:00:00,3470
2020-02-01 0:00:00,999
2020-02-02 0:00:00,1091
2020-02-03 0:00:00,1618
