id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
278000,1500.0,9.63,4042,5542,40.66836,-80.31338,"10' 6"" x 22' 9""",1500.0,1800.0,,9.63,155788,39,3919
205500,1969.0,3.13,4001,15927,32.36498,-86.15568,"10' 6"" x 36'",1969.0,2363.0,,3.13,629680,39,77059
167806,1100.0,5.57,4042,6291,42.11933,-80.09167,"10' 6"" x 22' 9""",1100.0,1320.0,,5.57,197604,39,22017
480179,5220.0,4.05,4051,9432,37.551911,-77.428271,14' x 48',5220.0,5220.0,,4.05,1288344,39,2500
147274,635.0,5.27,4012,14969,28.02245,-81.90751,"10' 6"" x 22' 9""",635.0,762.0,,5.27,120520,39,21591
166900,665.0,2.27,4030,26713,47.49425,-111.24785,"10' 6"" x 22' 9""",665.0,798.0,,2.27,292336,39,21436
166927,665.0,2.53,4030,26712,47.49464,-111.32704,"10' 6"" x 22' 9""",665.0,798.0,,2.53,262748,39,22892
492151,1250.0,9.39,4042,7659,40.2335,-75.53067,"10' 6"" x 22' 9""",1250.0,1500.0,,9.39,133104,39,23041
230187,1200.0,9.54,4039,19940,39.1799,-84.4949,"10' 6"" x 22' 9""",1200.0,1440.0,,9.54,125840,39,1699
167692,2300.0,2.06,4045,12372,34.007865,-81.05545,"14' x 38' 6""",2300.0,2760.0,,2.06,1114440,39,5105
168423,1200.0,3.31,4037,12078,35.872371,-80.865051,10' x 40',1200.0,1440.0,,3.31,362916,39,1359
147940,1295.0,9.05,4009,2394,41.12641,-73.4202,"10' 6"" x 22' 9""",1295.0,1554.0,,9.05,143128,39,1590
278650,1250.0,3.63,4048,34816,30.37366,-95.07208,12' x 40',1250.0,1500.0,,3.63,344124,39,1925
476651,1050.0,3.14,4047,16436,36.10768,-86.9219,"10' 6"" x 22' 9""",1050.0,1260.0,,3.14,334804,39,40551
148255,750.0,1.16,4022,31528,30.46058,-92.07498,14' x 48',750.0,900.0,,1.16,645076,39,11012
188103,3000.0,14.71,4048,36035,32.447712,-99.727061,14' x 48',3000.0,3600.0,,14.71,203900,39,90002
148508,795.0,16.17,4036,5078,43.02283,-78.87733,"10' 6"" x 22' 9""",795.0,954.0,,16.17,49172,39,21043
148585,1250.0,8.89,4039,19003,39.940876,-83.039853,"10' 6"" x 22' 9""",1250.0,1500.0,,8.89,140596,39,41481
148611,400.0,2.79,4047,16317,36.4801,-87.375315,"10' 6"" x 22' 9""",400.0,480.0,,2.79,143600,39,172
168818,325.0,8.21,4022,31316,30.00652,-90.72989,"10' 6"" x 22' 9""",325.0,390.0,,8.21,39564,39,33576
149601,605.0,0.79,4022,31537,30.24674,-92.08586,"10' 6"" x 36'",605.0,726.0,,0.79,768472,39,5164
